fecha_online,pais,conteo,conteo_MA,semana
19,El Salvador,314.0,471.3333333333333,17 de mayo
20,El Salvador,277.0,365.0,24 de mayo
21,El Salvador,255.0,282.0,31 de mayo
22,El Salvador,444.0,325.3333333333333,7 de junio
23,El Salvador,664.0,454.3333333333333,14 de junio
24,El Salvador,695.0,601.0,21 de junio
25,El Salvador,549.0,636.0,28 de junio
26,El Salvador,747.0,663.6666666666666,5 de julio
27,El Salvador,830.0,708.6666666666666,12 de julio
28,El Salvador,532.0,703.0,19 de julio
29,El Salvador,626.0,662.6666666666666,26 de julio
30,El Salvador,555.0,571.0,2 de agosto
31,El Salvador,775.0,652.0,9 de agosto
32,El Salvador,554.0,628.0,16 de agosto
0,Guatemala,86.0,86.0,5 de enero
1,Guatemala,553.0,319.5,12 de enero
2,Guatemala,380.0,339.6666666666667,19 de enero
3,Guatemala,355.0,429.3333333333333,26 de enero
4,Guatemala,668.0,467.6666666666667,2 de febrero
5,Guatemala,3657.0,1560.0,9 de febrero
6,Guatemala,4780.0,3035.0,16 de febrero
7,Guatemala,320.0,2919.0,23 de febrero
8,Guatemala,763.0,1954.3333333333333,1 de marzo
9,Guatemala,1729.0,937.3333333333334,8 de marzo
10,Guatemala,3825.0,2105.6666666666665,15 de marzo
11,Guatemala,1310.0,2288.0,22 de marzo
12,Guatemala,132.0,1755.6666666666667,29 de marzo
13,Guatemala,1768.0,1070.0,5 de abril
14,Guatemala,269.0,723.0,12 de abril
15,Guatemala,590.0,875.6666666666666,19 de abril
16,Guatemala,468.0,442.3333333333333,26 de abril
17,Guatemala,599.0,552.3333333333334,3 de mayo
18,Guatemala,720.0,595.6666666666666,10 de mayo
19,Guatemala,616.0,645.0,17 de mayo
20,Guatemala,470.0,602.0,24 de mayo
21,Guatemala,641.0,575.6666666666666,31 de mayo
22,Guatemala,946.0,685.6666666666666,7 de junio
23,Guatemala,466.0,684.3333333333334,14 de junio
24,Guatemala,946.0,786.0,21 de junio
25,Guatemala,727.0,713.0,28 de junio
26,Guatemala,762.0,811.6666666666666,5 de julio
27,Guatemala,905.0,798.0,12 de julio
28,Guatemala,897.0,854.6666666666666,19 de julio
29,Guatemala,920.0,907.3333333333334,26 de julio
30,Guatemala,866.0,894.3333333333334,2 de agosto
31,Guatemala,798.0,861.3333333333334,9 de agosto
32,Guatemala,808.0,824.0,16 de agosto
0,Honduras,114.0,114.0,5 de enero
1,Honduras,233.0,173.5,12 de enero
2,Honduras,169.0,172.0,19 de enero
3,Honduras,280.0,227.33333333333334,26 de enero
4,Honduras,311.0,253.33333333333334,2 de febrero
5,Honduras,817.0,469.3333333333333,9 de febrero
6,Honduras,874.0,667.3333333333334,16 de febrero
7,Honduras,165.0,618.6666666666666,23 de febrero
8,Honduras,318.0,452.3333333333333,1 de marzo
9,Honduras,498.0,327.0,8 de marzo
10,Honduras,591.0,469.0,15 de marzo
11,Honduras,121.0,403.3333333333333,22 de marzo
12,Honduras,65.0,259.0,29 de marzo
13,Honduras,345.0,177.0,5 de abril
14,Honduras,85.0,165.0,12 de abril
15,Honduras,95.0,175.0,19 de abril
16,Honduras,170.0,116.66666666666667,26 de abril
17,Honduras,112.0,125.66666666666667,3 de mayo
18,Honduras,113.0,131.66666666666666,10 de mayo
19,Honduras,74.0,99.66666666666667,17 de mayo
20,Honduras,82.0,89.66666666666667,24 de mayo
21,Honduras,148.0,101.33333333333333,31 de mayo
22,Honduras,124.0,118.0,7 de junio
23,Honduras,117.0,129.66666666666666,14 de junio
24,Honduras,325.0,188.66666666666666,21 de junio
25,Honduras,189.0,210.33333333333334,28 de junio
26,Honduras,157.0,223.66666666666666,5 de julio
27,Honduras,212.0,186.0,12 de julio
28,Honduras,177.0,182.0,19 de julio
29,Honduras,218.0,202.33333333333334,26 de julio
30,Honduras,235.0,210.0,2 de agosto
31,Honduras,460.0,304.3333333333333,9 de agosto
32,Honduras,209.0,301.3333333333333,16 de agosto
0,Nicaragua,25.0,25.0,5 de enero
1,Nicaragua,90.0,57.5,12 de enero
2,Nicaragua,76.0,63.666666666666664,19 de enero
3,Nicaragua,102.0,89.33333333333333,26 de enero
4,Nicaragua,74.0,84.0,2 de febrero
5,Nicaragua,109.0,95.0,9 de febrero
6,Nicaragua,444.0,209.0,16 de febrero
7,Nicaragua,98.0,217.0,23 de febrero
8,Nicaragua,280.0,274.0,1 de marzo
9,Nicaragua,90.0,156.0,8 de marzo
10,Nicaragua,302.0,224.0,15 de marzo
11,Nicaragua,45.0,145.66666666666666,22 de marzo
12,Nicaragua,34.0,127.0,29 de marzo
13,Nicaragua,29.0,36.0,5 de abril
14,Nicaragua,104.0,55.666666666666664,12 de abril
15,Nicaragua,66.0,66.33333333333333,19 de abril
16,Nicaragua,34.0,68.0,26 de abril
17,Nicaragua,390.0,163.33333333333334,3 de mayo
18,Nicaragua,146.0,190.0,10 de mayo
19,Nicaragua,69.0,201.66666666666666,17 de mayo
20,Nicaragua,103.0,106.0,24 de mayo
21,Nicaragua,59.0,77.0,31 de mayo
22,Nicaragua,238.0,133.33333333333334,7 de junio
23,Nicaragua,60.0,119.0,14 de junio
24,Nicaragua,134.0,144.0,21 de junio
25,Nicaragua,89.0,94.33333333333333,28 de junio
26,Nicaragua,331.0,184.66666666666666,5 de julio
27,Nicaragua,237.0,219.0,12 de julio
28,Nicaragua,763.0,443.6666666666667,19 de julio
29,Nicaragua,164.0,388.0,26 de julio
30,Nicaragua,351.0,426.0,2 de agosto
31,Nicaragua,104.0,206.33333333333334,9 de agosto
32,Nicaragua,98.0,184.33333333333334,16 de agosto
0,Panamá,36.0,36.0,5 de enero
1,Panamá,204.0,120.0,12 de enero
2,Panamá,184.0,141.33333333333334,19 de enero
3,Panamá,302.0,230.0,26 de enero
4,Panamá,251.0,245.66666666666666,2 de febrero
5,Panamá,591.0,381.3333333333333,9 de febrero
6,Panamá,445.0,429.0,16 de febrero
