empresa,pais,fecha_online,conteo
droguería proconsumo s.a. de c.v.,Honduras,Julio,2
filterh,Honduras,Julio,2
fompac disposables,Honduras,Julio,2
bairesdev sa,Honduras,Junio,10
bairesdev sa,Honduras,Junio,10
bairesdev sa,Honduras,Junio,10
agencia de empleo privada j y c,Honduras,Junio,7
bairesdev sa,Honduras,Junio,7
bairesdev sa,Honduras,Junio,7
eps plus,Honduras,Junio,7
eyl comercial,Honduras,Junio,7
mundo laboral,Honduras,Junio,6
bairesdev sa,Honduras,Junio,5
bairesdev sa,Honduras,Marzo,50
manpower professional,Honduras,Marzo,14
bairesdev sa,Honduras,Marzo,8
calaham group,Honduras,Marzo,8
"jetstereo, ultramotor, motomundo, solvenza",Honduras,Marzo,8
"outsource, s.a. de c.v.",Honduras,Marzo,7
"outsource, s.a. de c.v.",Honduras,Marzo,7
"soluciones empresariales, s. de r. l.",Honduras,Marzo,6
fundevi,Honduras,Marzo,5
global outsourcing honduras s.a. de c.v.,Honduras,Marzo,5
bairesdev sa,Honduras,Mayo,22
bairesdev sa,Honduras,Mayo,13
grupo misol,Honduras,Mayo,6
cti s.a. de c.v.,Honduras,Mayo,5
urbanisa,Honduras,Mayo,4
".grupo especializado de asistencia, s.a. de c.v.",Honduras,Mayo,3
adisa,Honduras,Mayo,3
agencia de empleo privada j y c,Honduras,Mayo,3
agencia de empleo privada j y c,Honduras,Mayo,3
dinant hn,Honduras,Mayo,3
bairesdev sa,Nicaragua,Abril,97
bairesdev sa,Nicaragua,Abril,45
incasur sl,Nicaragua,Abril,7
"supplying total talent, s.a.",Nicaragua,Abril,4
3jucomercial,Nicaragua,Abril,2
3jucomercial,Nicaragua,Abril,2
arenas nacionales s.a.(ansa),Nicaragua,Abril,2
comunicaciones s.a.,Nicaragua,Abril,2
ferromáx s.a,Nicaragua,Abril,2
ferromáx s.a,Nicaragua,Abril,2
"servicios para el desarrollo, s.a",Nicaragua,Enero,10
casa del café,Nicaragua,Enero,3
opl-pepsi,Nicaragua,Enero,3
outsourcing solutions,Nicaragua,Enero,3
outsourcing solutions,Nicaragua,Enero,3
outsourcing solutions,Nicaragua,Enero,3
stt group de nicaragua,Nicaragua,Enero,3
walmart de mexico y centroamérica,Nicaragua,Enero,3
3jucomercial,Nicaragua,Enero,2
ampm s.a,Nicaragua,Enero,2
bairesdev sa,Nicaragua,Febrero,74
bairesdev sa,Nicaragua,Febrero,4
axxis systems,Nicaragua,Febrero,3
clean internacional,Nicaragua,Febrero,3
"comercializadora de maní, s.a.  comasa",Nicaragua,Febrero,3
credicompras,Nicaragua,Febrero,3
mendez nicaragua sa,Nicaragua,Febrero,3
outsourcing solutions,Nicaragua,Febrero,3
sistemas integrados de seguridad s.a,Nicaragua,Febrero,3
texhong winnitex,Nicaragua,Febrero,3
bairesdev sa,Nicaragua,Julio,27
bairesdev sa,Nicaragua,Julio,13
bujia creativa,Nicaragua,Julio,3
desarrollo profesional y empresarial (dpesa),Nicaragua,Julio,3
3jucomercial,Nicaragua,Julio,2
clean internacional,Nicaragua,Julio,2
corporación dinant,Nicaragua,Julio,2
credicompras,Nicaragua,Julio,2
ideay,Nicaragua,Julio,2
3jucomercial,Nicaragua,Julio,1
bairesdev sa,Nicaragua,Junio,114
bairesdev sa,Nicaragua,Junio,69
bairesdev sa,Nicaragua,Junio,68
bairesdev sa,Nicaragua,Junio,37
incasur sl,Nicaragua,Junio,7
nestrix corporation,Nicaragua,Junio,5
ferromáx s.a,Nicaragua,Junio,4
ferromáx s.a,Nicaragua,Junio,4
nestrix corporation,Nicaragua,Junio,3
nestrix corporation,Nicaragua,Junio,3
bairesdev sa,Nicaragua,Marzo,58
ferromáx s.a,Nicaragua,Marzo,5
celistics,Nicaragua,Marzo,4
ferromáx s.a,Nicaragua,Marzo,3
grupo soluciones empresariales,Nicaragua,Marzo,3
manpower nicaragua,Nicaragua,Marzo,3
mendez nicaragua sa,Nicaragua,Marzo,3
"servicios para el desarrollo, s.a",Nicaragua,Marzo,3
walmart de mexico y centroamérica,Nicaragua,Marzo,3
3jucomercial,Nicaragua,Marzo,2
bairesdev sa,Nicaragua,Mayo,111
3jucomercial,Nicaragua,Mayo,3
el puente,Nicaragua,Mayo,3
ferromáx s.a,Nicaragua,Mayo,3
3jucomercial,Nicaragua,Mayo,2
accedo technologies,Nicaragua,Mayo,2
bairesdev sa,Nicaragua,Mayo,2
credicompras,Nicaragua,Mayo,2
credicompras,Nicaragua,Mayo,2
desarrollo profesional y empresarial (dpesa),Nicaragua,Mayo,2
asap panamá ship supplier,Panamá,Abril,3
"eulen panamá de servicios, s.a.",Panamá,Abril,3
3tech,Panamá,Abril,2
componentes el orbe,Panamá,Abril,2
corporacion hotelera 2000 s.a.,Panamá,Abril,2
davis human management,Panamá,Abril,2
"eulen panamá de servicios, s.a.",Panamá,Abril,2
"eulen panamá de servicios, s.a.",Panamá,Abril,2
"eulen panamá de servicios, s.a.",Panamá,Abril,2
international brands america s.a,Panamá,Abril,2
ja recursos,Panamá,Enero,5
conexiones s.a. pty,Panamá,Enero,4
redvolution internacional s. a,Panamá,Enero,4
ai consultores,Panamá,Enero,3
cedi medical panama,Panamá,Enero,3
"constructora pueblo nuevo, s.a.",Panamá,Enero,3
alb panamá,Panamá,Enero,2
american truck parts pty,Panamá,Enero,2
alonzoya,Panamá,Enero,2
anteater mobile payment,Panamá,Enero,2
"eulen panamá de servicios, s.a.",Panamá,Febrero,17
"eulen panamá de servicios, s.a.",Panamá,Febrero,15
"eulen panamá de servicios, s.a.",Panamá,Febrero,9
"eulen panamá de servicios, s.a.",Panamá,Febrero,6
colegio nuestra señora de la paz - panama,Panamá,Febrero,5
"eulen panamá de servicios, s.a.",Panamá,Febrero,5
"eulen panamá de servicios, s.a.",Panamá,Febrero,5
ja recursos,Panamá,Febrero,5
business consulting group,Panamá,Febrero,4
davis human management,Panamá,Febrero,4
ja recursos,Panamá,Julio,6
soluciones de microfinanzas s.a,Panamá,Julio,4
soluciones de microfinanzas s.a,Panamá,Julio,3
infinity medical panama,Panamá,Julio,2
international brands america s.a,Panamá,Julio,2
proyecto staffing,Panamá,Julio,2
rentahouse,Panamá,Julio,2
asap panamá ship supplier,Panamá,Julio,1
atento panama,Panamá,Julio,1
"centro industrial, s.a.",Panamá,Julio,1
"eulen panamá de servicios, s.a.",Panamá,Junio,6
telas el contendor,Panamá,Junio,4
asap panamá ship supplier,Panamá,Junio,3
getecsa panama,Panamá,Junio,3
panajobs,Panamá,Junio,3
"advertising and promotion de panamá, s.a.",Panamá,Junio,2
arango consulting,Panamá,Junio,2
avicola grecia,Panamá,Junio,2
"bp logistics, s.a.",Panamá,Junio,2
degusta panama,Panamá,Junio,2
3tech latin america,Panamá,Marzo,5
"advertising and promotion de panamá, s.a.",Panamá,Marzo,4
ja recursos,Panamá,Marzo,4
business consulting group,Panamá,Marzo,3
"eulen panamá de servicios, s.a.",Panamá,Marzo,3
"eulen panamá de servicios, s.a.",Panamá,Marzo,3
"eulen panamá de servicios, s.a.",Panamá,Marzo,3
quid soluciones,Panamá,Marzo,3
"raenco internacional, s.a.",Panamá,Marzo,3
ai consultores,Panamá,Marzo,2
getecsa panama,Panamá,Mayo,5
als panamá,Panamá,Mayo,4
"eulen panamá de servicios, s.a.",Panamá,Mayo,4
getecsa panama,Panamá,Mayo,3
"lgb group, s.a",Panamá,Mayo,3
recursos humanos y soluciones estratégicas,Panamá,Mayo,3
arborway,Panamá,Mayo,2
axxis systems,Panamá,Mayo,2
"empresas darién, s.a",Panamá,Mayo,2
ja recursos,Panamá,Mayo,2
manpower,Perú,Abril,93
manpower,Perú,Abril,56
tawa consulting s.a.c.,Perú,Abril,54
adecco perú s.a.,Perú,Abril,52
bairesdev sa,Perú,Abril,50
buró group,Perú,Abril,47
tawa consulting s.a.c.,Perú,Abril,44
buró group,Perú,Abril,43
eulen del perú,Perú,Abril,38
manpower,Perú,Abril,32
grupo pionier,Perú,Enero,6
casa de reposo san francisco de borja,Perú,Enero,5
cooperativa de ahorro y credito rondesa,Perú,Enero,5
i.e.p. american children high school,Perú,Enero,5
iep las gotitas del saber,Perú,Enero,5
tecniacero s.a.c.,Perú,Enero,5
uo trujillo ii,Perú,Enero,5
biotech laboratorios,Perú,Enero,4
edemsa perú s.a.,Perú,Enero,4
freskos,Perú,Enero,4
buró group,Perú,Febrero,194
eulen del perú,Perú,Febrero,187
manpower,Perú,Febrero,185
buró group,Perú,Febrero,155
adecco perú s.a.,Perú,Febrero,154
manpower,Perú,Febrero,154
manpower,Perú,Febrero,151
eulen del perú,Perú,Febrero,146
eulen del perú,Perú,Febrero,140
eulen del perú,Perú,Febrero,140
eulen del perú,Perú,Julio,71
eulen del perú,Perú,Julio,70
inkafarma,Perú,Julio,45
manpower,Perú,Julio,35
bairesdev sa,Perú,Julio,32
eulen del perú,Perú,Julio,32
mdy contact center,Perú,Julio,30
tawa consulting s.a.c.,Perú,Julio,29
manpower,Perú,Julio,27
tawa consulting s.a.c.,Perú,Julio,25
eulen del perú,Perú,Junio,61
manpower,Perú,Junio,56
eulen del perú,Perú,Junio,53
eulen del perú,Perú,Junio,52
manpower,Perú,Junio,52
manpower,Perú,Junio,51
bairesdev sa,Perú,Junio,50
eulen del perú,Perú,Junio,50
eulen del perú,Perú,Junio,49
eulen del perú,Perú,Junio,43
manpower,Perú,Marzo,160
adecco perú s.a.,Perú,Marzo,120
buró group,Perú,Marzo,89
eulen del perú,Perú,Marzo,79
tawa consulting s.a.c.,Perú,Marzo,79
manpower,Perú,Marzo,71
atento perú,Perú,Marzo,69
ng restaurants,Perú,Marzo,61
grupo salinas,Perú,Marzo,56
overall strategy,Perú,Marzo,49
manpower,Perú,Mayo,50
eulen del perú,Perú,Mayo,46
eulen del perú,Perú,Mayo,39
manpower,Perú,Mayo,37
eulen del perú,Perú,Mayo,32
manpower,Perú,Mayo,32
eulen del perú,Perú,Mayo,29
tawa consulting s.a.c.,Perú,Mayo,29
cadena de boticas mifarma,Perú,Mayo,28
inkafarma,Perú,Mayo,27
bairesdev sa,Paraguay,Abril,96
oktana,Paraguay,Abril,7
oktana,Paraguay,Abril,7
oktana,Paraguay,Abril,6
rhgroup,Paraguay,Abril,2
a v,Paraguay,Abril,1
bairesdev sa,Paraguay,Abril,1
bairesdev sa,Paraguay,Abril,1
casa boller s.a,Paraguay,Abril,1
hupi constructora y incorporadora,Paraguay,Abril,1
cn global arcadia s.l.,Paraguay,Enero,2
hupi constructora y incorporadora,Paraguay,Enero,2
hupi constructora y incorporadora,Paraguay,Enero,2
hupi constructora y incorporadora,Paraguay,Enero,2
andamios y maquinas s. a.,Paraguay,Enero,1
copetrol,Paraguay,Enero,1
concept consultora,Paraguay,Enero,1
inplay sports data,Paraguay,Enero,1
scopic software llc,Paraguay,Enero,1
sprint partners,Paraguay,Enero,1
bairesdev sa,Paraguay,Febrero,82
oktana,Paraguay,Febrero,6
bairesdev sa,Paraguay,Febrero,5
oktana,Paraguay,Febrero,5
oktana,Paraguay,Febrero,4
bairesdev sa,Paraguay,Febrero,3
bairesdev sa,Paraguay,Febrero,3
concept consultora,Paraguay,Febrero,2
stt group paraguay s.a.,Paraguay,Febrero,2
a v,Paraguay,Febrero,1
bairesdev sa,Paraguay,Julio,40
perfecta automotores sa,Paraguay,Julio,3
atlantis anadyomenos i t s l,Paraguay,Julio,2
oppen,Paraguay,Julio,2
perfecta automotores sa,Paraguay,Julio,2
perfecta automotores sa,Paraguay,Julio,2
a v,Paraguay,Julio,1
bairesdev sa,Paraguay,Julio,1
corallo aberturas,Paraguay,Julio,1
gs trading import export s.r.l.,Paraguay,Julio,1
bairesdev sa,Paraguay,Junio,113
bairesdev sa,Paraguay,Junio,69
bairesdev sa,Paraguay,Junio,68
bairesdev sa,Paraguay,Junio,37
oktana,Paraguay,Junio,5
gestion consultores,Paraguay,Junio,2
oktana,Paraguay,Junio,2
perfecta automotores sa,Paraguay,Junio,2
time management,Paraguay,Junio,2
fire master,Paraguay,Junio,2
bairesdev sa,Paraguay,Marzo,48
bairesdev sa,Paraguay,Marzo,11
grupo jlj empresas,Paraguay,Marzo,4
cem,Paraguay,Marzo,3
oktana,Paraguay,Marzo,3
hupi constructora y incorporadora,Paraguay,Marzo,2
hupi constructora y incorporadora,Paraguay,Marzo,2
oktana,Paraguay,Marzo,2
sic desarrollo,Paraguay,Marzo,2
american airlines inc. suc. paraguay,Paraguay,Marzo,1
bairesdev sa,Paraguay,Mayo,113
oktana,Paraguay,Mayo,3
fire master,Paraguay,Mayo,3
casa boller s.a,Paraguay,Mayo,1
fortaleza cleaning and care del paraguay sa,Paraguay,Mayo,1
oktana,Paraguay,Mayo,1
oktana,Paraguay,Mayo,1
oktana,Paraguay,Mayo,1
rhgroup,Paraguay,Mayo,1
ac talentos s.a.,El Salvador,Abril,12
latin top jobs,El Salvador,Abril,9
"pliret, s.a de c.v",El Salvador,Abril,6
"omnisport, s.a. de c.v.",El Salvador,Abril,5
"pliret, s.a de c.v",El Salvador,Abril,5
corporación multi inversiones,El Salvador,Abril,4
corporación multi inversiones,El Salvador,Abril,4
corporación multi inversiones,El Salvador,Abril,4
gestión empresarial,El Salvador,Abril,4
human  resources company s.a de c.v,El Salvador,Abril,4
"quimicas consolidadas, s.a. de c.v.",El Salvador,Enero,4
( consisa ) consultores de sistemas,El Salvador,Enero,3
akos,El Salvador,Enero,3
"almacenes bou, s.a de c.v",El Salvador,Enero,3
"almacenes rabelt, s.a de c.v.",El Salvador,Enero,3
"almacenes rabelt, s.a de c.v.",El Salvador,Enero,3
altercredit sa de cv,El Salvador,Enero,3
bairesdev sa,El Salvador,Enero,3
cotace s.a. de c.v.,El Salvador,Enero,3
"cpa el salvador, s.a. de c.v.",El Salvador,Enero,3
global outsourcing s.a. de c.v.,El Salvador,Febrero,46
"pliret, s.a de c.v",El Salvador,Febrero,35
"pliret, s.a de c.v",El Salvador,Febrero,34
integral workers,El Salvador,Febrero,29
corporación multi inversiones,El Salvador,Febrero,26
global outsourcing s.a. de c.v.,El Salvador,Febrero,20
"pliret, s.a de c.v",El Salvador,Febrero,19
"contactos y oportunidades, s.a. de c.v.",El Salvador,Febrero,17
corporación multi inversiones,El Salvador,Febrero,17
"pliret, s.a de c.v",El Salvador,Febrero,16
grupo stt el salvador sa de c.v,El Salvador,Julio,7
codosat el salvador,El Salvador,Julio,5
gsp corp.,El Salvador,Julio,4
genius sports,El Salvador,Julio,4
manpower group,El Salvador,Julio,4
celular star s.a de c.v,El Salvador,Julio,3
express wheels,El Salvador,Julio,3
industrias jovida s.a. de c.v.,El Salvador,Julio,3
"savona, s.a de c.v",El Salvador,Julio,3
sigma alimentos el salvador,El Salvador,Julio,3
corporación multi inversiones,El Salvador,Junio,14
the people company,El Salvador,Junio,8
bsci,El Salvador,Junio,5
manpower group,El Salvador,Junio,5
banco abank s.a.,El Salvador,Junio,4
codosat el salvador,El Salvador,Junio,4
corporación multi inversiones,El Salvador,Junio,4
"pliret, s.a de c.v",El Salvador,Junio,4
urbano express,El Salvador,Junio,4
urbano express,El Salvador,Junio,4
global outsourcing s.a. de c.v.,El Salvador,Marzo,20
global outsourcing s.a. de c.v.,El Salvador,Marzo,20
corporación multi inversiones,El Salvador,Marzo,19
almacenes vidri,El Salvador,Marzo,16
corporación multi inversiones,El Salvador,Marzo,14
corporación multi inversiones,El Salvador,Marzo,13
corporación multi inversiones,El Salvador,Marzo,12
galvanissa,El Salvador,Marzo,12
"pliret, s.a de c.v",El Salvador,Marzo,12
ac talentos s.a.,El Salvador,Marzo,11
corporación multi inversiones,El Salvador,Mayo,17
the people company,El Salvador,Mayo,6
bsci,El Salvador,Mayo,5
corporación multi inversiones,El Salvador,Mayo,5
bsci,El Salvador,Mayo,4
galvanissa,El Salvador,Mayo,4
solusersa s.a de c.v,El Salvador,Mayo,4
urbano express,El Salvador,Mayo,4
ac talentos s.a.,El Salvador,Mayo,3
c&s,El Salvador,Mayo,3
bairesdev,Uruguay,Abril,59
bairesdev,Uruguay,Abril,10
bairesdev,Uruguay,Abril,10
bairesdev,Uruguay,Abril,10
bairesdev,Uruguay,Abril,10
manpower group,Uruguay,Abril,9
manpower group,Uruguay,Abril,6
manpower group,Uruguay,Abril,6
aldesa construcciones sa,Uruguay,Abril,5
manpower group,Uruguay,Abril,4
possum,Uruguay,Enero,5
movilex recycling uruguay,Uruguay,Enero,4
casa tr3s,Uruguay,Enero,3
gran hotel,Uruguay,Enero,3
lojas renner s.a.,Uruguay,Enero,3
new age data,Uruguay,Enero,3
possum,Uruguay,Enero,3
ag,Uruguay,Enero,2
adecco,Uruguay,Enero,2
cn global arcadia s.l.,Uruguay,Enero,2
bairesdev,Uruguay,Febrero,48
manpower group,Uruguay,Febrero,35
manpower group,Uruguay,Febrero,32
manpower group,Uruguay,Febrero,30
manpower group,Uruguay,Febrero,27
manpower group,Uruguay,Febrero,25
advice,Uruguay,Febrero,17
randstad,Uruguay,Febrero,12
randstad,Uruguay,Febrero,12
randstad,Uruguay,Febrero,11
bairesdev,Uruguay,Julio,13
manpower group,Uruguay,Julio,13
bairesdev,Uruguay,Julio,7
manpower group,Uruguay,Julio,6
espeicas puras la trinidad,Uruguay,Julio,3
estilo srl,Uruguay,Julio,3
manpower group,Uruguay,Julio,3
manpower group,Uruguay,Julio,3
manpower group,Uruguay,Julio,3
dca servicio profesional,Uruguay,Julio,2
bairesdev,Uruguay,Junio,20
bairesdev,Uruguay,Junio,11
bairesdev,Uruguay,Junio,10
manpower group,Uruguay,Junio,10
bairesdev,Uruguay,Junio,9
manpower group,Uruguay,Junio,9
manpower group,Uruguay,Junio,8
manpower group,Uruguay,Junio,7
manpower group,Uruguay,Junio,7
manpower group,Uruguay,Junio,6
bairesdev,Uruguay,Marzo,27
manpower group,Uruguay,Marzo,22
manpower group,Uruguay,Marzo,21
manpower group,Uruguay,Marzo,21
manpower group,Uruguay,Marzo,20
bairesdev,Uruguay,Marzo,12
manpower group,Uruguay,Marzo,12
advice,Uruguay,Marzo,11
advice,Uruguay,Marzo,7
manpower group,Uruguay,Marzo,7
bairesdev,Uruguay,Mayo,14
bairesdev,Uruguay,Mayo,13
bairesdev,Uruguay,Mayo,7
coneban sa,Uruguay,Mayo,6
dca servicio profesional,Uruguay,Mayo,6
manpower group,Uruguay,Mayo,6
coneban sa,Uruguay,Mayo,5
eventuales consultora,Uruguay,Mayo,5
manpower group,Uruguay,Mayo,5
manpower group,Uruguay,Mayo,5
bairesdev sa,Venezuela,Abril,131
bairesdev sa,Venezuela,Abril,50
neo sepelios,Venezuela,Abril,45
importaciones david 2016 c.a.,Venezuela,Abril,24
neo sepelios,Venezuela,Abril,24
"distribuidora gsc,c.a.",Venezuela,Abril,24
spotikron system,Venezuela,Abril,22
3pl panamericana,Venezuela,Abril,20
farmatodo,Venezuela,Abril,15
"rog transporte y turismo, c.a.",Venezuela,Abril,15
inversiones wgs 2016,Venezuela,Enero,45
neo sepelios,Venezuela,Enero,24
autopartes emi ca,Venezuela,Enero,22
automotriz richard c.a.,Venezuela,Enero,21
inversiones wgs 2016,Venezuela,Enero,20
arts instituto de computacion grafica,Venezuela,Enero,19
cardiología no invasiva s.c,Venezuela,Enero,18
corporacion impo world,Venezuela,Enero,18
cauchos la mundial,Venezuela,Enero,18
distribuidora a&g c.a.,Venezuela,Enero,17
bairesdev sa,Venezuela,Febrero,107
bairesdev sa,Venezuela,Febrero,62
neo sepelios,Venezuela,Febrero,41
directa group,Venezuela,Febrero,40
bairesdev sa,Venezuela,Febrero,38
directa group,Venezuela,Febrero,32
directa group,Venezuela,Febrero,29
directa group,Venezuela,Febrero,29
1bc,Venezuela,Febrero,26
directa group,Venezuela,Febrero,26
"okimport,c.a",Venezuela,Julio,30
chesterwood,Venezuela,Julio,28
"gemethca, c.a",Venezuela,Julio,23
mg servicios integrales c.a,Venezuela,Julio,19
promotora tántalo,Venezuela,Julio,19
dm. talento consultores,Venezuela,Julio,14
distribuidora de repuestos valero c.a,Venezuela,Julio,13
mundo total,Venezuela,Julio,11
promotora tántalo,Venezuela,Julio,11
sercoinfal c.a,Venezuela,Julio,11
bairesdev sa,Venezuela,Junio,134
bairesdev sa,Venezuela,Junio,96
bairesdev sa,Venezuela,Junio,73
bairesdev sa,Venezuela,Junio,55
bairesdev sa,Venezuela,Junio,52
neo sepelios,Venezuela,Junio,24
neo sepelios,Venezuela,Junio,24
bairesdev sa,Venezuela,Junio,22
distribuidora full brake ii c.a,Venezuela,Junio,18
inversiones tornillos serrano c.a,Venezuela,Junio,17
bairesdev sa,Venezuela,Marzo,148
neo sepelios,Venezuela,Marzo,72
1bc,Venezuela,Marzo,42
bairesdev sa,Venezuela,Marzo,27
inversiones wgs 2016,Venezuela,Marzo,25
"omeca369,c.a.",Venezuela,Marzo,24
"la consultores, c.a.",Venezuela,Marzo,23
inversiones wgs 2016,Venezuela,Marzo,21
"inversiones andreas 2107,c.a",Venezuela,Marzo,18
cauchos la mundial,Venezuela,Marzo,17
bairesdev sa,Venezuela,Mayo,169
alianza glancelot,Venezuela,Mayo,39
alianza glancelot,Venezuela,Mayo,26
alianza glancelot,Venezuela,Mayo,26
neo sepelios,Venezuela,Mayo,24
neo sepelios,Venezuela,Mayo,24
neo sepelios,Venezuela,Mayo,24
promotora tántalo,Venezuela,Mayo,21
autoparts ultra sed c.a,Venezuela,Mayo,18
alianza glancelot,Venezuela,Mayo,18
