Unnamed: 0,Ocupaciones,Habilidades
2352,5-2: Vendedores ,1-3-2: ofrecer orientación 
2353,"6-3: Trabajadores agropecuarios, pescadores, cazadores y recolectores de subsistencia ","1-2-9: realizar seguimiento, inspección y ensayos "
2354,5-2: Vendedores ,1-3-2: ofrecer orientación 
2355,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-4-2: desarrollar objetivos y estrategias 
2356,2-4: Especialistas en organización de la administración pública y de empresas ,"1-6-9: colocar materiales, herramientas o equipos "
2357,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-3-6: preparar y servir alimentos y bebidas 
2358,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ","1-4-3: organizar, planificar y programar trabajo y actividades "
2359,7-4: Trabajadores especializados en electricidad y la electrotecnología ,"1-8-9: instalar, mantener y reparar equipos eléctricos, electrónicos y de precisión "
2360,9-5: Vendedores ambulantes de servicios y afines ,1-6-6: ensamblar y fabricar productos 
2361,1-2: Directores administradores y comerciales ,1-2-6: medir propiedades físicas 
2362,9-1: Limpiadores y asistentes ,1-6-10: manipular animales 
2363,4-4: Otro personal de apoyo administrativo ,1-3-7: prestar cuidados personales en general 
2364,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-3-6: preparar y servir alimentos y bebidas 
2365,4-4: Otro personal de apoyo administrativo ,1-1-5: presentar información 
2366,5-2: Vendedores ,1-6-12: lavar y mantener textiles y prendas de vestir 
2367,4-4: Otro personal de apoyo administrativo ,1-2-4: gestionar información 
2368,5-1: Trabajadores de los servicios personales ,1-8-3: conducir vehículos 
2369,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ","1-2-9: realizar seguimiento, inspección y ensayos "
2370,3-2: Profesionales de nivel medio de la salud ,1-1-13: escribir y redactar 
2371,5-1: Trabajadores de los servicios personales ,1-3-4: proteger y velar por el cumplimiento 
2372,4-1: Oficinistas ,1-8-2: operar maquinaria móvil 
2373,4-2: Empleados en trato directo con el público ,"1-4-3: organizar, planificar y programar trabajo y actividades "
2374,9-6: Recolectores de desechos y otras ocupaciones elementales ,"1-6-2: clasificar y envasar, embalar y empaquetar mercancías y materiales "
2375,"3-4: Profesionales de nivel medio de servicios jurídicos, sociales, culturales y afines ","1-1-12: crear materiales artísticos, visuales o docentes "
2376,2-3: Profesionales de la enseñanza ,1-3-6: preparar y servir alimentos y bebidas 
2377,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-1-14: actuar y entretener 
2378,2-4: Especialistas en organización de la administración pública y de empresas ,1-8-7: utilizar instrumentos y equipos de precisión 
2379,9-5: Vendedores ambulantes de servicios y afines ,1-6-1: manipular y mover 
2380,4-2: Empleados en trato directo con el público ,1-5-2: programar sistemas informáticos 
2381,"9-3: Peones de la minería, la construcción, la industria manufacturera y el transporte ",1-2-7: calcular y estimar 
2382,4-4: Otro personal de apoyo administrativo ,1-4-4: asignar y controlar recursos 
2383,5-1: Trabajadores de los servicios personales ,1-3-2: ofrecer orientación 
2384,9-6: Recolectores de desechos y otras ocupaciones elementales ,1-6-4: transformar y mezclar materiales 
2385,1-2: Directores administradores y comerciales ,1-4-1: capacidades de gestión 
2386,3-1: Profesionales de las ciencias y la ingeniería de nivel medio ,1-7-1: construir 
2387,"6-2: Trabajadores forestales calificados, pescadores y cazadores ",1-6-11: limpiar 
2388,4-3: Empleados contables y encargados del registro de materiales ,1-4-5: realizar tareas administrativas 
2389,8-1: Operadores de instalaciones fijas y máquinas ,1-8-5: operar maquinaria para la extracción y la transformación de materias primas 
2390,7-3: Artesanos y operarios de las artes gráficas ,1-8-5: operar maquinaria para la extracción y la transformación de materias primas 
2391,1-2: Directores administradores y comerciales ,1-4-2: desarrollar objetivos y estrategias 
2392,8-3: Conductores de vehículos y operadores de equipos pesados móviles ,1-8-1: trabajar con maquinaria y equipo especializado 
2393,"3-4: Profesionales de nivel medio de servicios jurídicos, sociales, culturales y afines ",1-8-6: operar maquinaria para la fabricación de productos 
2394,1-3: Directores y gerentes de producción y operaciones ,1-1-13: escribir y redactar 
2395,4-4: Otro personal de apoyo administrativo ,1-4-8: reclutar y contratar 
2396,4-2: Empleados en trato directo con el público ,1-1-6: prestar asesoramiento y consultoría 
2397,9-5: Vendedores ambulantes de servicios y afines ,1-1-6: prestar asesoramiento y consultoría 
2398,4-4: Otro personal de apoyo administrativo ,1-1-9: trabajar con otros 
2399,7-3: Artesanos y operarios de las artes gráficas ,"1-8-8: instalar, mantener y reparar equipos mecánicos "
2400,8-1: Operadores de instalaciones fijas y máquinas ,1-6-3: mover y elevar 
2401,9-5: Vendedores ambulantes de servicios y afines ,1-3-2: ofrecer orientación 
2402,5-2: Vendedores ,1-3-4: proteger y velar por el cumplimiento 
2403,6-1: Agricultores y trabajadores calificados de explotaciones agropecuarias con destino al mercado ,1-6-1: manipular y mover 
2404,4-2: Empleados en trato directo con el público ,1-1-2: negociar 
2405,5-4: Personal de los servicios de protección ,1-1-8: obtener información verbal 
2406,5-2: Vendedores ,1-6-11: limpiar 
2407,7-1: Oficiales y operarios de la construcción excluyendo electricistas ,"1-4-3: organizar, planificar y programar trabajo y actividades "
2408,1-3: Directores y gerentes de producción y operaciones ,1-3-6: preparar y servir alimentos y bebidas 
2409,5-2: Vendedores ,1-6-5: ocuparse de plantas y cultivos 
2410,5-2: Vendedores ,1-6-5: ocuparse de plantas y cultivos 
2411,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-8-3: conducir vehículos 
2412,4-2: Empleados en trato directo con el público ,1-3-6: preparar y servir alimentos y bebidas 
2413,9-6: Recolectores de desechos y otras ocupaciones elementales ,1-6-3: mover y elevar 
2414,4-2: Empleados en trato directo con el público ,"1-4-3: organizar, planificar y programar trabajo y actividades "
2415,4-2: Empleados en trato directo con el público ,1-3-1: prestar asistencia y cuidados 
2416,1-2: Directores administradores y comerciales ,1-4-6: guiar y motivar 
2417,2-3: Profesionales de la enseñanza ,1-8-5: operar maquinaria para la extracción y la transformación de materias primas 
2418,5-4: Personal de los servicios de protección ,"1-2-9: realizar seguimiento, inspección y ensayos "
2419,"9-2: Peones agropecuarios, pesqueros y forestales ",1-1-14: actuar y entretener 
2420,"6-3: Trabajadores agropecuarios, pescadores, cazadores y recolectores de subsistencia ",1-6-1: manipular y mover 
2421,4-2: Empleados en trato directo con el público ,1-2-7: calcular y estimar 
2422,5-4: Personal de los servicios de protección ,1-3-5: facilitar información y apoyo al público y a los clientes 
2423,2-2: Profesionales de la salud ,1-3-3: prestar atención sanitaria o administrar tratamientos médicos 
2424,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,"1-2-9: realizar seguimiento, inspección y ensayos "
2425,7-1: Oficiales y operarios de la construcción excluyendo electricistas ,"1-6-9: colocar materiales, herramientas o equipos "
2426,2-3: Profesionales de la enseñanza ,1-4-2: desarrollar objetivos y estrategias 
2427,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ",1-8-7: utilizar instrumentos y equipos de precisión 
2428,5-4: Personal de los servicios de protección ,1-1-9: trabajar con otros 
2429,2-4: Especialistas en organización de la administración pública y de empresas ,1-1-13: escribir y redactar 
2430,7-1: Oficiales y operarios de la construcción excluyendo electricistas ,1-7-3: instalar infraestructura interior o exterior 
2431,2-4: Especialistas en organización de la administración pública y de empresas ,1-4-6: guiar y motivar 
2432,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ",1-3-7: prestar cuidados personales en general 
2433,1-2: Directores administradores y comerciales ,1-3-4: proteger y velar por el cumplimiento 
2434,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ","1-8-9: instalar, mantener y reparar equipos eléctricos, electrónicos y de precisión "
2435,9-4: Ayudantes de preparación de alimentos ,1-6-3: mover y elevar 
2436,2-3: Profesionales de la enseñanza ,"1-4-3: organizar, planificar y programar trabajo y actividades "
2437,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-6-5: ocuparse de plantas y cultivos 
2438,9-5: Vendedores ambulantes de servicios y afines ,1-6-12: lavar y mantener textiles y prendas de vestir 
2439,1-2: Directores administradores y comerciales ,1-6-4: transformar y mezclar materiales 
2440,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,"1-2-9: realizar seguimiento, inspección y ensayos "
2441,4-2: Empleados en trato directo con el público ,1-1-2: negociar 
2442,4-2: Empleados en trato directo con el público ,1-1-4: enseñar y formar 
2443,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-6-5: ocuparse de plantas y cultivos 
2444,4-4: Otro personal de apoyo administrativo ,1-4-4: asignar y controlar recursos 
2445,4-1: Oficinistas ,1-4-6: guiar y motivar 
2446,5-4: Personal de los servicios de protección ,1-6-5: ocuparse de plantas y cultivos 
2447,7-4: Trabajadores especializados en electricidad y la electrotecnología ,"1-4-3: organizar, planificar y programar trabajo y actividades "
2448,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,"1-2-9: realizar seguimiento, inspección y ensayos "
2449,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ","1-1-7: promocionar, vender y comprar "
2450,6-1: Agricultores y trabajadores calificados de explotaciones agropecuarias con destino al mercado ,1-6-8: utilizar herramientas manuales 
2451,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-3-2: ofrecer orientación 
2452,9-1: Limpiadores y asistentes ,1-3-6: preparar y servir alimentos y bebidas 
2453,9-5: Vendedores ambulantes de servicios y afines ,1-6-11: limpiar 
2454,9-4: Ayudantes de preparación de alimentos ,1-1-5: presentar información 
2455,2-4: Especialistas en organización de la administración pública y de empresas ,1-4-9: supervisar a personas 
2456,2-4: Especialistas en organización de la administración pública y de empresas ,1-1-2: negociar 
2457,7-3: Artesanos y operarios de las artes gráficas ,"1-1-7: promocionar, vender y comprar "
2458,1-2: Directores administradores y comerciales ,1-4-1: capacidades de gestión 
2459,4-1: Oficinistas ,"1-6-2: clasificar y envasar, embalar y empaquetar mercancías y materiales "
2460,4-2: Empleados en trato directo con el público ,1-3-2: ofrecer orientación 
2461,8-1: Operadores de instalaciones fijas y máquinas ,1-8-5: operar maquinaria para la extracción y la transformación de materias primas 
2462,1-3: Directores y gerentes de producción y operaciones ,1-1-4: enseñar y formar 
2463,"6-2: Trabajadores forestales calificados, pescadores y cazadores ",1-6-11: limpiar 
2464,4-2: Empleados en trato directo con el público ,1-3-2: ofrecer orientación 
2465,5-3: Trabajadores de los cuidados personales ,1-3-4: proteger y velar por el cumplimiento 
2466,2-3: Profesionales de la enseñanza ,1-1-4: enseñar y formar 
2467,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ",1-6-5: ocuparse de plantas y cultivos 
2468,1-3: Directores y gerentes de producción y operaciones ,1-6-10: manipular animales 
2469,1-3: Directores y gerentes de producción y operaciones ,1-3-6: preparar y servir alimentos y bebidas 
2470,9-1: Limpiadores y asistentes ,1-6-11: limpiar 
2471,1-2: Directores administradores y comerciales ,1-4-5: realizar tareas administrativas 
2472,2-5: Profesionales de tecnología de la información y las comunicaciones ,"1-4-3: organizar, planificar y programar trabajo y actividades "
2473,"6-2: Trabajadores forestales calificados, pescadores y cazadores ",1-6-12: lavar y mantener textiles y prendas de vestir 
2474,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-4-2: desarrollar objetivos y estrategias 
2475,9-5: Vendedores ambulantes de servicios y afines ,1-6-11: limpiar 
2476,5-1: Trabajadores de los servicios personales ,1-3-1: prestar asistencia y cuidados 
2477,2-1: Profesionales de las ciencias y de la ingeniería ,1-4-2: desarrollar objetivos y estrategias 
2478,"2-6: Profesionales en derecho, en ciencias sociales y culturales ",1-3-4: proteger y velar por el cumplimiento 
2479,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-5-2: programar sistemas informáticos 
2480,9-5: Vendedores ambulantes de servicios y afines ,1-3-6: preparar y servir alimentos y bebidas 
2481,8-3: Conductores de vehículos y operadores de equipos pesados móviles ,1-1-8: obtener información verbal 
2482,4-4: Otro personal de apoyo administrativo ,1-6-11: limpiar 
2483,"9-3: Peones de la minería, la construcción, la industria manufacturera y el transporte ",1-4-4: asignar y controlar recursos 
2484,"9-3: Peones de la minería, la construcción, la industria manufacturera y el transporte ",1-6-11: limpiar 
2485,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-3-6: preparar y servir alimentos y bebidas 
2486,2-3: Profesionales de la enseñanza ,1-1-9: trabajar con otros 
2487,5-3: Trabajadores de los cuidados personales ,1-6-10: manipular animales 
2488,2-5: Profesionales de tecnología de la información y las comunicaciones ,1-2-10: realizar seguimiento de avances en el ámbito de especialización 
2489,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
2490,1-2: Directores administradores y comerciales ,1-1-6: prestar asesoramiento y consultoría 
2491,"2-6: Profesionales en derecho, en ciencias sociales y culturales ",1-5-4: acceder a y analizar datos digitales 
2492,7-1: Oficiales y operarios de la construcción excluyendo electricistas ,1-5-2: programar sistemas informáticos 
2493,"6-3: Trabajadores agropecuarios, pescadores, cazadores y recolectores de subsistencia ",1-1-9: trabajar con otros 
2494,1-2: Directores administradores y comerciales ,1-2-7: calcular y estimar 
2495,5-1: Trabajadores de los servicios personales ,1-3-2: ofrecer orientación 
2496,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-6-3: mover y elevar 
2497,5-4: Personal de los servicios de protección ,1-4-2: desarrollar objetivos y estrategias 
2498,2-5: Profesionales de tecnología de la información y las comunicaciones ,1-5-2: programar sistemas informáticos 
2499,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-4-2: desarrollar objetivos y estrategias 
2500,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-3-2: ofrecer orientación 
2501,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-8-3: conducir vehículos 
2502,"7-5: Operarios y oficiales de procesamiento de alimentos, de la confección, ebanistas, otros artesanos y afines ",1-4-2: desarrollar objetivos y estrategias 
2503,2-4: Especialistas en organización de la administración pública y de empresas ,"1-2-9: realizar seguimiento, inspección y ensayos "
2504,1-2: Directores administradores y comerciales ,"1-2-9: realizar seguimiento, inspección y ensayos "
2505,"6-3: Trabajadores agropecuarios, pescadores, cazadores y recolectores de subsistencia ",1-8-3: conducir vehículos 
2506,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ","1-6-9: colocar materiales, herramientas o equipos "
2507,4-2: Empleados en trato directo con el público ,"1-6-9: colocar materiales, herramientas o equipos "
2508,9-5: Vendedores ambulantes de servicios y afines ,1-4-10: tomar decisiones 
2509,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-3-2: ofrecer orientación 
2510,9-5: Vendedores ambulantes de servicios y afines ,1-3-6: preparar y servir alimentos y bebidas 
2511,6-1: Agricultores y trabajadores calificados de explotaciones agropecuarias con destino al mercado ,"1-2-9: realizar seguimiento, inspección y ensayos "
2512,4-2: Empleados en trato directo con el público ,1-1-8: obtener información verbal 
2513,1-3: Directores y gerentes de producción y operaciones ,1-6-10: manipular animales 
2514,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ",1-1-11: diseñar sistemas y productos 
2515,"9-2: Peones agropecuarios, pesqueros y forestales ","1-6-7: elaborar moldes, formas, modelos y patrones "
2516,"3-4: Profesionales de nivel medio de servicios jurídicos, sociales, culturales y afines ",1-1-13: escribir y redactar 
2517,3-2: Profesionales de nivel medio de la salud ,1-3-3: prestar atención sanitaria o administrar tratamientos médicos 
2518,4-3: Empleados contables y encargados del registro de materiales ,1-1-2: negociar 
2519,9-5: Vendedores ambulantes de servicios y afines ,1-1-10: solucionar problemas 
2520,7-3: Artesanos y operarios de las artes gráficas ,1-7-2: construir y repara estructuras 
2521,9-6: Recolectores de desechos y otras ocupaciones elementales ,1-3-6: preparar y servir alimentos y bebidas 
2522,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-1-8: obtener información verbal 
2523,"2-6: Profesionales en derecho, en ciencias sociales y culturales ",1-8-3: conducir vehículos 
2524,5-2: Vendedores ,"1-2-9: realizar seguimiento, inspección y ensayos "
2525,3-2: Profesionales de nivel medio de la salud ,1-1-4: enseñar y formar 
2526,4-1: Oficinistas ,1-3-7: prestar cuidados personales en general 
2527,3-5: Técnicos de la tecnología de la información y las comunicaciones ,"1-8-9: instalar, mantener y reparar equipos eléctricos, electrónicos y de precisión "
2528,9-5: Vendedores ambulantes de servicios y afines ,1-3-6: preparar y servir alimentos y bebidas 
2529,9-5: Vendedores ambulantes de servicios y afines ,1-6-5: ocuparse de plantas y cultivos 
2530,9-6: Recolectores de desechos y otras ocupaciones elementales ,1-6-13: manipular y eliminar residuos y materiales peligrosos 
2531,2-3: Profesionales de la enseñanza ,1-1-6: prestar asesoramiento y consultoría 
2532,9-5: Vendedores ambulantes de servicios y afines ,1-4-10: tomar decisiones 
2533,4-3: Empleados contables y encargados del registro de materiales ,1-6-10: manipular animales 
2534,2-2: Profesionales de la salud ,1-1-13: escribir y redactar 
2535,"1-1: Directores ejecutivos, personal directivo de la administración pública y miembros del poder ejecutivo y de los cuerpos legislativos ",1-4-5: realizar tareas administrativas 
2536,2-5: Profesionales de tecnología de la información y las comunicaciones ,1-1-2: negociar 
2537,8-2: Ensambladores ,1-6-12: lavar y mantener textiles y prendas de vestir 
2538,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-6-12: lavar y mantener textiles y prendas de vestir 
2539,2-5: Profesionales de tecnología de la información y las comunicaciones ,1-1-10: solucionar problemas 
2540,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-4-10: tomar decisiones 
2541,9-5: Vendedores ambulantes de servicios y afines ,1-6-6: ensamblar y fabricar productos 
2542,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ","1-8-9: instalar, mantener y reparar equipos eléctricos, electrónicos y de precisión "
2543,5-2: Vendedores ,"1-1-7: promocionar, vender y comprar "
2544,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,"1-2-9: realizar seguimiento, inspección y ensayos "
2545,4-2: Empleados en trato directo con el público ,1-2-7: calcular y estimar 
2546,4-2: Empleados en trato directo con el público ,1-1-5: presentar información 
2547,4-2: Empleados en trato directo con el público ,1-6-5: ocuparse de plantas y cultivos 
2548,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-3-6: preparar y servir alimentos y bebidas 
2549,3-5: Técnicos de la tecnología de la información y las comunicaciones ,"1-2-9: realizar seguimiento, inspección y ensayos "
2550,"6-3: Trabajadores agropecuarios, pescadores, cazadores y recolectores de subsistencia ",1-6-11: limpiar 
2551,9-5: Vendedores ambulantes de servicios y afines ,1-3-6: preparar y servir alimentos y bebidas 
2552,5-2: Vendedores ,1-3-2: ofrecer orientación 
2553,2-5: Profesionales de tecnología de la información y las comunicaciones ,"1-4-3: organizar, planificar y programar trabajo y actividades "
2554,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
2555,1-2: Directores administradores y comerciales ,1-4-10: tomar decisiones 
2556,1-3: Directores y gerentes de producción y operaciones ,1-3-7: prestar cuidados personales en general 
2557,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-6-6: ensamblar y fabricar productos 
2558,4-2: Empleados en trato directo con el público ,1-8-3: conducir vehículos 
2559,5-1: Trabajadores de los servicios personales ,1-3-6: preparar y servir alimentos y bebidas 
2560,2-3: Profesionales de la enseñanza ,1-5-4: acceder a y analizar datos digitales 
2561,9-5: Vendedores ambulantes de servicios y afines ,1-6-11: limpiar 
2562,"9-2: Peones agropecuarios, pesqueros y forestales ",1-8-7: utilizar instrumentos y equipos de precisión 
2563,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,"1-2-9: realizar seguimiento, inspección y ensayos "
2564,8-3: Conductores de vehículos y operadores de equipos pesados móviles ,1-4-2: desarrollar objetivos y estrategias 
2565,3-5: Técnicos de la tecnología de la información y las comunicaciones ,1-1-13: escribir y redactar 
2566,5-1: Trabajadores de los servicios personales ,1-1-13: escribir y redactar 
2567,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-8-3: conducir vehículos 
2568,2-4: Especialistas en organización de la administración pública y de empresas ,1-3-7: prestar cuidados personales en general 
2569,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-3-5: facilitar información y apoyo al público y a los clientes 
2570,3-5: Técnicos de la tecnología de la información y las comunicaciones ,"1-6-9: colocar materiales, herramientas o equipos "
2571,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,"1-2-9: realizar seguimiento, inspección y ensayos "
2572,9-5: Vendedores ambulantes de servicios y afines ,1-3-5: facilitar información y apoyo al público y a los clientes 
2573,9-5: Vendedores ambulantes de servicios y afines ,1-4-5: realizar tareas administrativas 
2574,8-1: Operadores de instalaciones fijas y máquinas ,1-8-5: operar maquinaria para la extracción y la transformación de materias primas 
2575,4-4: Otro personal de apoyo administrativo ,1-4-5: realizar tareas administrativas 
2576,7-4: Trabajadores especializados en electricidad y la electrotecnología ,"1-8-9: instalar, mantener y reparar equipos eléctricos, electrónicos y de precisión "
2577,9-5: Vendedores ambulantes de servicios y afines ,1-3-6: preparar y servir alimentos y bebidas 
2578,6-1: Agricultores y trabajadores calificados de explotaciones agropecuarias con destino al mercado ,1-6-12: lavar y mantener textiles y prendas de vestir 
2579,4-4: Otro personal de apoyo administrativo ,1-8-3: conducir vehículos 
2580,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-8-7: utilizar instrumentos y equipos de precisión 
2581,4-1: Oficinistas ,1-5-6: utilizar herramientas digitales para controlar maquinaria 
2582,7-3: Artesanos y operarios de las artes gráficas ,1-1-13: escribir y redactar 
2583,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,"1-2-9: realizar seguimiento, inspección y ensayos "
2584,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-1-2: negociar 
2585,9-5: Vendedores ambulantes de servicios y afines ,1-3-6: preparar y servir alimentos y bebidas 
2586,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-3-6: preparar y servir alimentos y bebidas 
2587,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-1-13: escribir y redactar 
2588,3-1: Profesionales de las ciencias y la ingeniería de nivel medio ,"1-8-9: instalar, mantener y reparar equipos eléctricos, electrónicos y de precisión "
2589,4-2: Empleados en trato directo con el público ,1-3-7: prestar cuidados personales en general 
2590,4-3: Empleados contables y encargados del registro de materiales ,1-4-4: asignar y controlar recursos 
2591,6-1: Agricultores y trabajadores calificados de explotaciones agropecuarias con destino al mercado ,"1-1-7: promocionar, vender y comprar "
2592,9-5: Vendedores ambulantes de servicios y afines ,1-3-1: prestar asistencia y cuidados 
2593,5-2: Vendedores ,1-1-8: obtener información verbal 
2594,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
2595,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
2596,5-3: Trabajadores de los cuidados personales ,1-1-6: prestar asesoramiento y consultoría 
2597,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-4-5: realizar tareas administrativas 
2598,7-3: Artesanos y operarios de las artes gráficas ,1-1-13: escribir y redactar 
2599,5-1: Trabajadores de los servicios personales ,1-3-2: ofrecer orientación 
2600,2-4: Especialistas en organización de la administración pública y de empresas ,"1-2-9: realizar seguimiento, inspección y ensayos "
2601,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ","1-8-8: instalar, mantener y reparar equipos mecánicos "
2602,2-5: Profesionales de tecnología de la información y las comunicaciones ,"1-1-1: comunicación, colaboración y creatividad "
2603,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-2-7: calcular y estimar 
2604,9-5: Vendedores ambulantes de servicios y afines ,1-6-10: manipular animales 
2605,"6-2: Trabajadores forestales calificados, pescadores y cazadores ","1-4-3: organizar, planificar y programar trabajo y actividades "
2606,3-2: Profesionales de nivel medio de la salud ,"1-2-2: realizar estudios, investigaciones y análisis "
2607,2-4: Especialistas en organización de la administración pública y de empresas ,1-1-3: actuar como enlace y crear redes de contactos 
2608,4-2: Empleados en trato directo con el público ,1-4-4: asignar y controlar recursos 
2609,2-2: Profesionales de la salud ,1-6-10: manipular animales 
2610,8-1: Operadores de instalaciones fijas y máquinas ,1-8-2: operar maquinaria móvil 
2611,8-3: Conductores de vehículos y operadores de equipos pesados móviles ,1-5-2: programar sistemas informáticos 
2612,4-4: Otro personal de apoyo administrativo ,"1-4-3: organizar, planificar y programar trabajo y actividades "
2613,2-5: Profesionales de tecnología de la información y las comunicaciones ,"1-1-1: comunicación, colaboración y creatividad "
2614,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ","1-2-9: realizar seguimiento, inspección y ensayos "
2615,3-1: Profesionales de las ciencias y la ingeniería de nivel medio ,1-8-5: operar maquinaria para la extracción y la transformación de materias primas 
2616,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
2617,7-3: Artesanos y operarios de las artes gráficas ,"1-1-12: crear materiales artísticos, visuales o docentes "
2618,2-5: Profesionales de tecnología de la información y las comunicaciones ,1-2-10: realizar seguimiento de avances en el ámbito de especialización 
2619,9-5: Vendedores ambulantes de servicios y afines ,1-1-6: prestar asesoramiento y consultoría 
2620,4-2: Empleados en trato directo con el público ,1-3-6: preparar y servir alimentos y bebidas 
2621,7-4: Trabajadores especializados en electricidad y la electrotecnología ,1-7-3: instalar infraestructura interior o exterior 
2622,1-3: Directores y gerentes de producción y operaciones ,1-6-10: manipular animales 
2623,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ",1-6-10: manipular animales 
2624,"3-4: Profesionales de nivel medio de servicios jurídicos, sociales, culturales y afines ","1-2-2: realizar estudios, investigaciones y análisis "
2625,4-4: Otro personal de apoyo administrativo ,"1-4-3: organizar, planificar y programar trabajo y actividades "
2626,"6-2: Trabajadores forestales calificados, pescadores y cazadores ",1-6-6: ensamblar y fabricar productos 
2627,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-6-10: manipular animales 
2628,8-1: Operadores de instalaciones fijas y máquinas ,"1-6-7: elaborar moldes, formas, modelos y patrones "
2629,9-5: Vendedores ambulantes de servicios y afines ,1-6-12: lavar y mantener textiles y prendas de vestir 
2630,4-1: Oficinistas ,1-3-5: facilitar información y apoyo al público y a los clientes 
2631,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-1-10: solucionar problemas 
2632,4-2: Empleados en trato directo con el público ,1-3-2: ofrecer orientación 
2633,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ","1-8-8: instalar, mantener y reparar equipos mecánicos "
2634,4-2: Empleados en trato directo con el público ,1-8-3: conducir vehículos 
2635,8-1: Operadores de instalaciones fijas y máquinas ,1-8-5: operar maquinaria para la extracción y la transformación de materias primas 
2636,4-4: Otro personal de apoyo administrativo ,1-3-7: prestar cuidados personales en general 
2637,2-4: Especialistas en organización de la administración pública y de empresas ,1-2-8: analizar y evaluar información y datos 
2638,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-3-6: preparar y servir alimentos y bebidas 
2639,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-1-2: negociar 
2640,"3-4: Profesionales de nivel medio de servicios jurídicos, sociales, culturales y afines ",1-8-2: operar maquinaria móvil 
2641,1-2: Directores administradores y comerciales ,1-6-10: manipular animales 
2642,1-3: Directores y gerentes de producción y operaciones ,1-4-9: supervisar a personas 
2643,9-5: Vendedores ambulantes de servicios y afines ,1-6-10: manipular animales 
