Unnamed: 0,Ocupaciones,Habilidades
122,9-1: Limpiadores y asistentes ,1-4-5: realizar tareas administrativas 
123,9-6: Recolectores de desechos y otras ocupaciones elementales ,"1-2-9: realizar seguimiento, inspección y ensayos "
124,3-2: Profesionales de nivel medio de la salud ,1-8-3: conducir vehículos 
125,9-5: Vendedores ambulantes de servicios y afines ,"1-2-9: realizar seguimiento, inspección y ensayos "
126,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-1-6: prestar asesoramiento y consultoría 
127,3-1: Profesionales de las ciencias y la ingeniería de nivel medio ,"1-2-2: realizar estudios, investigaciones y análisis "
128,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-6-12: lavar y mantener textiles y prendas de vestir 
129,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-8-6: operar maquinaria para la fabricación de productos 
130,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-6-12: lavar y mantener textiles y prendas de vestir 
131,2-1: Profesionales de las ciencias y de la ingeniería ,"1-6-9: colocar materiales, herramientas o equipos "
132,3-5: Técnicos de la tecnología de la información y las comunicaciones ,"1-8-9: instalar, mantener y reparar equipos eléctricos, electrónicos y de precisión "
133,2-1: Profesionales de las ciencias y de la ingeniería ,"1-8-9: instalar, mantener y reparar equipos eléctricos, electrónicos y de precisión "
134,3-5: Técnicos de la tecnología de la información y las comunicaciones ,1-5-2: programar sistemas informáticos 
135,2-2: Profesionales de la salud ,1-3-3: prestar atención sanitaria o administrar tratamientos médicos 
136,4-2: Empleados en trato directo con el público ,1-6-5: ocuparse de plantas y cultivos 
137,2-1: Profesionales de las ciencias y de la ingeniería ,"1-2-9: realizar seguimiento, inspección y ensayos "
138,5-2: Vendedores ,1-3-5: facilitar información y apoyo al público y a los clientes 
139,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ","1-4-3: organizar, planificar y programar trabajo y actividades "
140,5-1: Trabajadores de los servicios personales ,1-3-4: proteger y velar por el cumplimiento 
141,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-3-2: ofrecer orientación 
142,2-4: Especialistas en organización de la administración pública y de empresas ,"1-2-9: realizar seguimiento, inspección y ensayos "
143,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-3-2: ofrecer orientación 
144,4-2: Empleados en trato directo con el público ,1-4-2: desarrollar objetivos y estrategias 
145,4-2: Empleados en trato directo con el público ,1-1-2: negociar 
146,2-4: Especialistas en organización de la administración pública y de empresas ,1-3-2: ofrecer orientación 
147,4-3: Empleados contables y encargados del registro de materiales ,"1-4-3: organizar, planificar y programar trabajo y actividades "
148,8-3: Conductores de vehículos y operadores de equipos pesados móviles ,"1-2-9: realizar seguimiento, inspección y ensayos "
149,5-1: Trabajadores de los servicios personales ,1-3-7: prestar cuidados personales en general 
150,2-4: Especialistas en organización de la administración pública y de empresas ,"1-6-2: clasificar y envasar, embalar y empaquetar mercancías y materiales "
151,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ","1-6-9: colocar materiales, herramientas o equipos "
152,9-5: Vendedores ambulantes de servicios y afines ,1-3-6: preparar y servir alimentos y bebidas 
153,"1-1: Directores ejecutivos, personal directivo de la administración pública y miembros del poder ejecutivo y de los cuerpos legislativos ",1-6-11: limpiar 
154,"1-1: Directores ejecutivos, personal directivo de la administración pública y miembros del poder ejecutivo y de los cuerpos legislativos ","1-8-8: instalar, mantener y reparar equipos mecánicos "
155,7-3: Artesanos y operarios de las artes gráficas ,1-6-10: manipular animales 
156,"2-6: Profesionales en derecho, en ciencias sociales y culturales ","1-2-9: realizar seguimiento, inspección y ensayos "
157,4-3: Empleados contables y encargados del registro de materiales ,1-6-3: mover y elevar 
158,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-3-2: ofrecer orientación 
159,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ","1-6-9: colocar materiales, herramientas o equipos "
160,9-5: Vendedores ambulantes de servicios y afines ,1-1-8: obtener información verbal 
161,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
162,5-1: Trabajadores de los servicios personales ,1-5-1: trabajar con ordenadores 
163,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
164,"6-2: Trabajadores forestales calificados, pescadores y cazadores ",1-6-10: manipular animales 
165,4-2: Empleados en trato directo con el público ,1-1-9: trabajar con otros 
166,4-1: Oficinistas ,1-4-6: guiar y motivar 
167,4-4: Otro personal de apoyo administrativo ,1-6-10: manipular animales 
168,5-2: Vendedores ,1-4-5: realizar tareas administrativas 
169,"1-1: Directores ejecutivos, personal directivo de la administración pública y miembros del poder ejecutivo y de los cuerpos legislativos ",1-4-1: capacidades de gestión 
170,"1-1: Directores ejecutivos, personal directivo de la administración pública y miembros del poder ejecutivo y de los cuerpos legislativos ",1-8-3: conducir vehículos 
171,5-2: Vendedores ,1-6-11: limpiar 
172,2-4: Especialistas en organización de la administración pública y de empresas ,1-1-10: solucionar problemas 
173,3-5: Técnicos de la tecnología de la información y las comunicaciones ,1-5-3: configurar y proteger sistemas informáticos 
174,2-5: Profesionales de tecnología de la información y las comunicaciones ,1-8-3: conducir vehículos 
175,2-1: Profesionales de las ciencias y de la ingeniería ,1-2-5: procesar información 
176,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-3-1: prestar asistencia y cuidados 
177,1-3: Directores y gerentes de producción y operaciones ,1-4-2: desarrollar objetivos y estrategias 
178,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
179,9-5: Vendedores ambulantes de servicios y afines ,1-8-7: utilizar instrumentos y equipos de precisión 
180,2-5: Profesionales de tecnología de la información y las comunicaciones ,1-2-10: realizar seguimiento de avances en el ámbito de especialización 
181,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-8-2: operar maquinaria móvil 
182,5-2: Vendedores ,1-6-11: limpiar 
183,4-4: Otro personal de apoyo administrativo ,"1-4-3: organizar, planificar y programar trabajo y actividades "
184,4-2: Empleados en trato directo con el público ,1-1-2: negociar 
185,6-1: Agricultores y trabajadores calificados de explotaciones agropecuarias con destino al mercado ,1-1-6: prestar asesoramiento y consultoría 
186,5-4: Personal de los servicios de protección ,1-3-4: proteger y velar por el cumplimiento 
187,2-5: Profesionales de tecnología de la información y las comunicaciones ,1-4-2: desarrollar objetivos y estrategias 
188,"6-3: Trabajadores agropecuarios, pescadores, cazadores y recolectores de subsistencia ",1-1-8: obtener información verbal 
189,4-2: Empleados en trato directo con el público ,1-1-15: utilizar más de una lengua 
190,3-5: Técnicos de la tecnología de la información y las comunicaciones ,1-2-4: gestionar información 
191,9-5: Vendedores ambulantes de servicios y afines ,"1-2-9: realizar seguimiento, inspección y ensayos "
192,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-6-5: ocuparse de plantas y cultivos 
193,2-1: Profesionales de las ciencias y de la ingeniería ,"1-6-7: elaborar moldes, formas, modelos y patrones "
194,3-5: Técnicos de la tecnología de la información y las comunicaciones ,1-1-13: escribir y redactar 
195,9-5: Vendedores ambulantes de servicios y afines ,1-6-11: limpiar 
196,2-5: Profesionales de tecnología de la información y las comunicaciones ,1-2-7: calcular y estimar 
197,3-5: Técnicos de la tecnología de la información y las comunicaciones ,1-8-5: operar maquinaria para la extracción y la transformación de materias primas 
198,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-7-1: construir 
199,4-3: Empleados contables y encargados del registro de materiales ,1-3-6: preparar y servir alimentos y bebidas 
200,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-5-6: utilizar herramientas digitales para controlar maquinaria 
201,1-3: Directores y gerentes de producción y operaciones ,1-3-6: preparar y servir alimentos y bebidas 
