fecha_online,pais,conteo,conteo_MA,semana
18,Argentina,1885,3016.6666666666665,10 de mayo
18,Bolivia,230,79.33333333333333,10 de mayo
18,Brasil,5825,4716.333333333333,10 de mayo
18,Chile,1184,1389.0,10 de mayo
18,Colombia,4908,6415.333333333333,10 de mayo
18,Costa Rica,102,83.33333333333333,10 de mayo
18,Rep. Dominicana,128,51.333333333333336,10 de mayo
18,Ecuador,79,65.66666666666667,10 de mayo
18,Guatemala,277,262.6666666666667,10 de mayo
18,Honduras,52,61.333333333333336,10 de mayo
18,Nicaragua,132,69.66666666666667,10 de mayo
18,Panamá,23,17.666666666666668,10 de mayo
18,Perú,1100,706.3333333333334,10 de mayo
18,Paraguay,118,46.333333333333336,10 de mayo
18,El Salvador,130,134.0,10 de mayo
18,Uruguay,86,68.0,10 de mayo
18,Venezuela,768,546.6666666666666,10 de mayo
19,Argentina,841,1889.3333333333333,17 de mayo
19,Brasil,1925,4550.0,17 de mayo
19,Chile,1026,1098.3333333333333,17 de mayo
19,Colombia,5500,4905.333333333333,17 de mayo
19,Costa Rica,88,89.33333333333333,17 de mayo
19,Rep. Dominicana,15,52.333333333333336,17 de mayo
19,Ecuador,87,77.33333333333333,17 de mayo
19,Guatemala,307,289.6666666666667,17 de mayo
19,Honduras,49,51.0,17 de mayo
19,Nicaragua,24,70.66666666666667,17 de mayo
19,Panamá,31,23.0,17 de mayo
19,Perú,1711,1200.3333333333333,17 de mayo
19,Paraguay,1,43.333333333333336,17 de mayo
19,El Salvador,104,129.66666666666666,17 de mayo
19,Uruguay,62,70.0,17 de mayo
19,Venezuela,766,659.0,17 de mayo
20,Argentina,810,1178.6666666666667,24 de mayo
20,Bolivia,4,79.0,24 de mayo
20,Brasil,2820,3523.3333333333335,24 de mayo
20,Chile,849,1019.6666666666666,24 de mayo
20,Colombia,5177,5195.0,24 de mayo
20,Costa Rica,82,90.66666666666667,24 de mayo
20,Rep. Dominicana,5,49.333333333333336,24 de mayo
20,Ecuador,76,80.66666666666667,24 de mayo
20,Guatemala,234,272.6666666666667,24 de mayo
20,Honduras,36,45.666666666666664,24 de mayo
20,Nicaragua,24,60.0,24 de mayo
20,Panamá,21,25.0,24 de mayo
20,Perú,1621,1477.3333333333333,24 de mayo
20,Paraguay,6,41.666666666666664,24 de mayo
20,El Salvador,129,121.0,24 de mayo
20,Uruguay,61,69.66666666666667,24 de mayo
20,Venezuela,758,764.0,24 de mayo
